Product name,SKUID,String ID
Dynamics 365 for Supply Chain Management Attach to Qualifying Dynamics 365 Base Offer,090b4a96-8114-4c95-9c91-60e81ef53302,DYN365_SCM_ATTACH
Dynamics 365 for Team Members Enterprise Edition,8e7a3d30-d97d-43ab-837c-d7701cef83dc,DYN365_ENTERPRISE_TEAM_MEMBERS
Dynamics 365 for Team Members Enterprise Edition for Government,ba05762f-32ff-4fac-a096-55309b3700a3,DYN365_ENTERPRISE_TEAM_MEMBERS_GOV
Dynamics 365 Guides,0a389a77-9850-4dc4-b600-bc66fdfefc60,GUIDES_USER
Dynamics 365 Human Resources Attach to Qualifying Dynamics 365 Base Offer,83c489a4-94b6-4dcc-9fdc-ff9b107a4621,DYN365_HUMAN_RESOURCES_ATTACH
Dynamics 365 Hybrid Connector,de176c31-616d-4eae-829a-718918d7ec23,CRM_HYBRIDCONNECTOR
Dynamics 365 Marketing App,00b861da-8087-4e30-beb8-8db3c6d9581e,DYN365_MARKETING_APP
Dynamics 365 Multi-app,6c75fb1b-61f2-42d0-b1b8-6492ca9ae159,Dynamics_365_Multi_app_
Dynamics 365 Operations - Device,3bbd44ed-8a70-4c07-9088-6232ddbd5ddd,Dynamics_365_for_Operations_Devices
Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing,e485d696-4c87-4aac-bf4a-91b2fb6f0fa7,Dynamics_365_for_Operations_Sandbox_Tier2_SKU
Dynamics 365 Operations - Sandbox Tier 4:Standard Performance Testing,f7ad4bca-7221-452c-bdb6-3e6089f25e06,Dynamics_365_for_Operations_Sandbox_Tier4_SKU
Dynamics 365 Operations – Activity,b75074f1-4c54-41bf-970f-c9ac871567f5,Dyn365_Operations_Activity
Dynamics 365 P1 Tria for Information Workers,338148b6-1b11-4102-afb9-f92b6cdc0f8d,DYN365_ENTERPRISE_P1_IW
Dynamics 365 Project Operations,98619618-9dc8-48c6-8f0c-741890ba5f93,DYN365_PROJECT_OPERATIONS
Dynamics 365 Project Operations Attach,af739e8e-dd11-4eb5-a986-5908f595c603,DYN365_PROJECT_OPERATIONS_ATTACH
Dynamics 365 Remote Assist,7a551360-26c4-4f61-84e6-ef715673e083,MICROSOFT_REMOTE_ASSIST
Dynamics 365 Remote Assist HoloLens,e48328a2-8e98-4484-a70f-a99f8ac9ec89,MICROSOFT_REMOTE_ASSIST_HOLOLENS
Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer,5b22585d-1b71-4c6b-b6ec-160b1a9c2323,D365_SALES_ENT_ATTACH
Dynamics 365 Sales Premium,2edaa1dc-966d-4475-93d6-8ee8dfd96877,DYN365_SALES_PREMIUM
Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer,245e6bf9-411e-481e-8611-5c08595e2988,D365_SALES_PRO_ATTACH
"Dynamics 365 Sales, Field Service and Customer Service Partner Sandbox",494721b8-1f30-4315-aba6-70ca169358d9,Dynamics_365_Sales_Field_Service_and_Customer_Service_Partner_Sandbox
Dynamics 365 Supply Chain Management Premium,9467fd84-2758-4287-b1fa-6a908c441b8a,Dynamics_365_Supply_Chain_Management_Premium
Dynamics 365 Talent: Attract,e561871f-74fa-4f02-abee-5b0ef54dd36d,Dynamics_365_Hiring_SKU
Dynamics 365 Talent: Onboard,b56e7ccc-d5c7-421f-a23b-5c18bdbad7c0,DYNAMICS_365_ONBOARDING_SKU
Dynamics 365 Team Members,7ac9fe77-66b7-4e5e-9e46-10eed1cff547,DYN365_TEAM_MEMBERS
Dynamics 365 UNF OPS Plan ENT Edition,ccba3cfe-71ef-423a-bd87-b6df3dce59a9,Dynamics_365_for_Operations
Enterprise Mobility + Security A3 for Faculty,aedfac18-56b8-45e3-969b-53edb4ba4952,EMS_EDU_FACULTY
Enterprise Mobility + Security E3,efccb6f7-5641-4e0e-bd10-b4976e1bf68e,EMS
Enterprise Mobility + Security E5,b05e124f-c7cc-45a0-a6aa-8cf78c946968,EMSPREMIUM
Enterprise Mobility + Security E5_USGOV_GCCHIGH,a461b89c-10e3-471c-82b8-aae4d820fccb,EMSPREMIUM_USGOV_GCCHIGH
Enterprise Mobility + Security G3 GCC,c793db86-5237-494e-9b11-dcd4877c2c8c,EMS_GOV
Enterprise Mobility + Security G5 GCC,8a180c2b-f4cf-4d44-897c-3d32acc4a60b,EMSPREMIUM_GOV
Exchange Enterprise CAL Services (EOP DLP),e8ecdf70-47a8-4d39-9d15-093624b7f640,EOP_ENTERPRISE_PREMIUM
Exchange Online (Plan 1),4b9405b0-7788-4568-add1-99614e613b69,EXCHANGESTANDARD
Exchange Online (Plan 1) for Alumni with Yammer,aa0f9eb7-eff2-4943-8424-226fb137fcad,EXCHANGESTANDARD_ALUMNI
Exchange Online (Plan 1) for GCC,f37d5ebf-4bf1-4aa2-8fa3-50c51059e983,EXCHANGESTANDARD_GOV
Exchange Online (Plan 1) for Students,ad2fe44a-915d-4e2b-ade1-6766d50a9d9c,EXCHANGESTANDARD_STUDENT
Exchange Online (Plan 2),19ec0d23-8335-4cbd-94ac-6050e30712fa,EXCHANGEENTERPRISE
Exchange Online (Plan 2) for Faculty,0b7b15a8-7fd2-4964-bb96-5a566d4e3c15,EXCHANGEENTERPRISE_FACULTY
Exchange Online (Plan 2) for GCC,7be8dc28-4da4-4e6d-b9b9-c60f2806df8a,EXCHANGEENTERPRISE_GOV
Exchange Online Archiving for Exchange Online,ee02fd1b-340e-4a4b-b355-4a514e4c8943,EXCHANGEARCHIVE_ADDON
Exchange Online Archiving for Exchange Server,90b5e015-709a-4b8b-b08e-3200f994494c,EXCHANGEARCHIVE
Exchange Online Essentials,e8f81a67-bd96-4074-b108-cf193eb9433b,EXCHANGE_S_ESSENTIALS
Exchange Online Essentials (ExO P1 Based),7fc0182e-d107-4556-8329-7caaa511197b,EXCHANGEESSENTIALS
Exchange Online Kiosk,80b2d799-d2ba-4d2a-8842-fb0d0f3a4b82,EXCHANGEDESKLESS
Exchange Online POP,cb0a98a8-11bc-494c-83d9-c1b1ac65327e,EXCHANGETELCO
Exchange Online Protection,45a2423b-e884-448d-a831-d9e139c52d2f,EOP_ENTERPRISE
Flow Plan 1 for Government,2b3b0c87-36af-4d15-8124-04a691cc2546,FLOW_P1_GOV
Intune,061f9ace-7d42-4136-88ac-31dc755f143f,INTUNE_A
Intune for Education,d9d89b70-a645-4c24-b041-8d3cb1884ec7,INTUNE_EDU
Microsoft 365 A1,b17653a4-2443-4e8c-a550-18249dda78bb,M365EDU_A1
Microsoft 365 A3 - Unattended License for students use benefit,1aa94593-ca12-4254-a738-81a5972958e8,M365EDU_A3_STUUSEBNFT_RPA1
Microsoft 365 A3 for Faculty,4b590615-0888-425a-a965-b3bf7789848d,M365EDU_A3_FACULTY
Microsoft 365 A3 for Students,7cfd9a2b-e110-4c39-bf20-c6a3f36a3121,M365EDU_A3_STUDENT
Microsoft 365 A3 for students use benefit,18250162-5d87-4436-a834-d795c15c80f3,M365EDU_A3_STUUSEBNFT
Microsoft 365 A3 Suite features for faculty,32a0e471-8a27-4167-b24f-941559912425,Microsoft 365 A3 Suite features for faculty
Microsoft 365 A5 for faculty,e97c048c-37a4-45fb-ab50-922fbf07a370,M365EDU_A5_FACULTY
Microsoft 365 A5 for Students,46c119d4-0379-4a9d-85e4-97c66d3f909e,M365EDU_A5_STUDENT
Microsoft 365 A5 for students use benefit,31d57bc7-3a05-4867-ab53-97a17835a411,M365EDU_A5_STUUSEBNFT
Microsoft 365 A5 Suite features for faculty,9b8fe788-6174-4c4e-983b-3330c93ec278,M365_A5_SUITE_COMPONENTS_FACULTY
Microsoft 365 A5 without Audio Conferencing for students use benefit,81441ae1-0b31-4185-a6c0-32b6b84d419f,M365EDU_A5_NOPSTNCONF_STUUSEBNFT
Microsoft 365 Apps for Business (O365_BUSINESS),cdd28e44-67e3-425e-be4c-737fab2899d3,O365_BUSINESS
Microsoft 365 Apps for Business (SMB_BUSINESS),b214fe43-f5a3-4703-beeb-fa97188220fc,SMB_BUSINESS
Microsoft 365 Apps for Enterprise,c2273bd0-dff7-4215-9ef5-2c7bcfb06425,OFFICESUBSCRIPTION
Microsoft 365 Apps for enterprise (device),ea4c5ec8-50e3-4193-89b9-50da5bd4cdc7,OFFICE_PROPLUS_DEVICE1
Microsoft 365 Apps for Faculty,12b8c807-2e20-48fc-b453-542b6ee9d171,OFFICESUBSCRIPTION_FACULTY
Microsoft 365 Apps for Students,c32f9321-a627-406d-a114-1f9c81aaafac,OFFICESUBSCRIPTION_STUDENT
Microsoft 365 Audio Conferencing,0c266dff-15dd-4b49-8397-2bb16070ed52,MCOMEETADV
Microsoft 365 Audio Conferencing - GCCHigh Tenant (AR)_USGOV_GCCHIGH,170ba00c-38b2-468c-a756-24c05037160a,MCOACBYOT_AR_GCCHIGH_USGOV_GCCHIGH
Microsoft 365 Audio Conferencing for faculty,c2cda955-3359-44e5-989f-852ca0cfa02f,MCOMEETADV_FACULTY
Microsoft 365 Audio Conferencing for GCC,2d3091c7-0712-488b-b3d8-6b97bde6a1f5,MCOMEETADV_GOV
Microsoft 365 Audio Conferencing Pay-Per-Minute - EA,df9561a4-4969-4e6a-8e73-c601b68ec077,MCOMEETACPEA
Microsoft 365 Audio Conferencing_USGOV_GCCHIGH,4dee1f32-0808-4fd2-a2ed-fdd575e3a45f,MCOMEETADV_USGOV_GCCHIGH
Microsoft 365 Business Basic (SMB_BUSINESS_ESSENTIALS),dab7782a-93b1-4074-8bb1-0e61318bea0b,SMB_BUSINESS_ESSENTIALS
Microsoft 365 Business Basic (O365_BUSINESS_ESSENTIALS),3b555118-da6a-4418-894f-7df1e2096870,O365_BUSINESS_ESSENTIALS
Microsoft 365 Business Basic (no Teams),21502a13-c8dc-4744-be9c-177fd9d2eafc,Microsoft_365_Business_Basic_(no Teams)
Microsoft 365 Business Basic EEA (no Teams),b1f3042b-a390-4b56-ab61-b88e7e767a97,Microsoft_365_Business_Basic_EEA_(no_Teams)
Microsoft 365 Business Premium,cbdc14ab-d96c-4c30-b9f4-6ada7cdc1d46,SPB
Microsoft 365 Business Premium (no Teams),00e1ec7b-e4a3-40d1-9441-b69b597ab222,Microsoft_365_ Business_ Premium_(no Teams)
Microsoft 365 Business Premium Donation,24c35284-d768-4e53-84d9-b7ae73dddf69,Microsoft_365_Business_Premium_Donation_(Non_Profit_Pricing)
Microsoft 365 Business Premium EEA (no Teams),a3f586b6-8cce-4d9b-99d6-55238397f77a,Office_365_w/o_Teams_Bundle_Business_Premium
Microsoft 365 Business Standard,f245ecc8-75af-4f8e-b61f-27d8114de5f3,O365_BUSINESS_PREMIUM
Microsoft 365 Business Standard (no Teams),5a1c7b8d-0739-4ca8-bf69-ec87e69133ac,MICROSOFT_365_BUSINESS_STANDARD_NO_TEAMS
Microsoft 365 Business Standard - Prepaid Legacy,ac5cef5d-921b-4f97-9ef3-c99076e5470f,SMB_BUSINESS_PREMIUM
Microsoft 365 Business Standard EEA (no Teams) (Office_365_w/o_Teams_Bundle_Business_Standard),c1f79c29-5d7a-4bec-a2c1-1a76774864c0,Office_365_w/o_Teams_Bundle_Business_Standard
Microsoft 365 Business Standard EEA (no Teams) (Microsoft_365_Business_Standard_EEA_(no_Teams)),ffa3a2a0-3820-462a-aa81-8a4d741f0cba,Microsoft_365_Business_Standard_EEA_(no_Teams)
Microsoft 365 Business Voice,a6051f20-9cbc-47d2-930d-419183bf6cf1,BUSINESS_VOICE_MED2
Microsoft 365 Business Voice (UK,e5a17adf-8f0d-4b57-bc14-d331235f9307,BUSINESS_VOICE
Microsoft 365 Business Voice (US),08d7bce8-6e16-490e-89db-1d508e5e9609,BUSINESS_VOICE_MED2_TELCO
Microsoft 365 Business Voice (without Calling Plan),d52db95a-5ecb-46b6-beb0-190ab5cda4a8,BUSINESS_VOICE_DIRECTROUTING
Microsoft 365 Business Voice (without Calling Plan) for US,8330dae3-d349-44f7-9cad-1b23c64baabe,BUSINESS_VOICE_DIRECTROUTING_MED
Microsoft 365 Copilot (Education Faculty),ad9c22b3-52d7-4e7e-973c-88121ea96436,Microsoft_365_Copilot_EDU
